county,subcounty,ward,lat,lon,altitude,annual_Rain,annual_Temp,ke_elev,ke_ph,LR_Rain,LR_Temp,SR_Rain,SR_Temp
Homa Bay,Ndhiwa Sub County,Kabuoch South/pala Ward,-0.800213627,34.43701089,1328.723267,1409,21.43333244,1333,5.849999905,861,21.35428619,548,21.54400063
Nakuru,Naivasha  Sub County,Hells Gate Ward,-0.802106231,36.48099235,2140.17334,803,15.7003336,2129,6.760000229,497,15.57771397,306,15.87199974
Kisii,South Mugirango Sub County,Bogetenga Ward,-0.802630575,34.64053997,1530.709351,1669,20.11533356,1515,5.53000021,1047,20.04171371,622,20.21839905
Migori,Awendo Sub County,North Sakwa Ward,-0.803011283,34.49849932,1304.081177,1424,21.33499908,1300,5.900000095,881,21.25428581,543,21.44799995
EMBU,Mbeere South  Sub County,Mwea Ward,-0.803743467,37.37374895,1109.502441,868,21.8010006,1114,6.579999924,477,21.65657043,391,22.00320053
Narok,Narok North Sub County,Olorropil Ward,-0.804371778,35.93125412,2564.880859,1019,13.59466648,2519,5.510000229,654,13.55885696,365,13.64480019
Nakuru,Naivasha  Sub County,Naivasha East Ward,-0.80657431,36.54203268,2471.410645,1239,12.86833382,2547,6.210000038,783,12.70057201,456,13.10319996
Migori,Nyatike Sub County,Kachieng' Ward,-0.809928708,34.1534075,1303.871826,1130,22.49533272,1315,6.579999924,673,22.37371445,457,22.66559982
Migori,Nyatike Sub County,Kanyasa Ward,-0.810760595,34.22072382,1300.323853,1196,22.16366577,1302,6.550000191,699,22.05028534,497,22.32239914
Narok,Narok South Sub County,Sogoo Ward,-0.810854827,35.57737914,2158.441895,1124,15.72833347,2179,5.75,733,15.69999981,391,15.76799965
Nyamira,Borabu Sub County,Esise Ward,-0.811790358,35.04004127,1819.248657,1562,18.16633415,1819,5.579999924,996,18.12057114,566,18.23040009
KITUI,Mwingi Central Sub- County,Nguni Ward,-0.811936765,38.51219895,603.545105,638,24.21899986,603,6.909999847,233,24.07600021,405,24.4192009
Muranga,Kigumo Sub County,Kigumo Ward,-0.814692771,36.98678297,1698.864258,1530,17.9386673,1696,5.449999809,966,17.77257156,564,18.1711998
KITUI,Mwingi Central Sub- County,Waita Ward,-0.816443112,38.14524311,918.9805298,716,22.06733322,842,6.190000057,295,21.86114311,421,22.3560009
Kisii,Bomachoge Chache Sub County,Boochi Tendere Ward,-0.817249475,34.72864384,1676.019897,1752,19.72800064,1680,5.449999809,1100,19.66342926,652,19.81839943
Bomet,Bomet East Sub County,Chemaner Ward,-0.818926562,35.48096923,2042.003662,1156,16.42000008,2072,5.71999979,750,16.37714195,406,16.47999954
Muranga,Muranga South Sub County,Kambiti Ward,-0.81967781,37.2351405,1158.167236,974,21.1439991,1141,6.050000191,589,20.94742775,385,21.4192009
Kisii,Nyaribari Masaba Sub County,Kiamokama Ward,-0.82209415,34.91021939,2056.761963,1748,17.70966721,2055,5.539999962,1108,17.66114235,640,17.77759933
EMBU,Mbeere South  Sub County,Makima Ward,-0.822945115,37.54846889,1102.70166,779,21.84633255,1112,6.639999866,381,21.70342827,398,22.04640007
Kisii,South Mugirango Sub County,Boikanga Ward,-0.824214351,34.66275606,1757.018555,1669,20.11533356,1841,5.389999866,1047,20.04171371,622,20.21839905
Kisii,Bobasi Sub County,Masige East Ward,-0.830691585,34.7895115,1885.942749,1847,19.16866684,1897,5.409999847,1165,19.1057148,682,19.2567997
Bomet,Chepalungu Sub County,Nyangores Ward,-0.833623636,35.32147325,1901.824585,1212,17.65966606,1907,6.03000021,766,17.63257217,446,17.69759941
Muranga,Kigumo Sub County,Muthithi Ward,-0.834728366,37.08785304,1501.197266,1097,19.63466644,1492,5.769999981,659,19.45199966,438,19.89039993
Kisii,Bobasi Sub County,Masige West Ward,-0.835535979,34.76264622,1747.002686,1794,19.0806675,1755,5.440000057,1122,19.01942825,672,19.166399
Kisii,Bobasi Sub County,Basi Central Ward,-0.835953274,34.84595838,1828.487427,1726,18.20533371,1837,5.449999809,1079,18.15885735,647,18.27039909
Muranga,Muranga South Sub County,Kamahuhu Ward,-0.839851075,37.18645008,1336.86853,1030,20.15766716,1326,5.860000134,617,19.95657158,413,20.43919945
Muranga,Kandara Sub County,Ruchu Ward,-0.840488509,36.93451144,1783.400879,1546,17.66133308,1779,5.320000172,980,17.51199913,566,17.87039948
